,birth,death
0,0.35,6.5
1,0.351,6.5
2,0.352,5.0
3,0.353,6.0
4,0.354,5.0
5,0.355,4.0
6,0.356,5.0
7,0.357,5.0
8,0.358,4.5
9,0.359,6.0
10,0.36,7.0
11,0.361,7.5
12,0.362,8.0
13,0.363,11.0
14,0.364,10.5
15,0.365,7.0
16,0.366,9.0
17,0.367,8.0
18,0.368,13.5
19,0.369,9.0
20,0.37,14.5
21,0.371,9.333333333333334
22,0.372,6.5
23,0.373,7.5
24,0.374,11.0
25,0.375,6.5
26,0.376,5.25
27,0.377,16.5
28,0.378,10.0
29,0.379,14.0
30,0.38,12.0
31,0.381,69.0
32,0.382,74.0
33,0.383,31.0
34,0.384,27.0
35,0.385,77.0
36,0.386,45.0
37,0.387,41.0
38,0.388,60.0
39,0.389,82.0
40,0.39,87.0
41,0.391,77.0
42,0.392,45.0
43,0.393,73.0
44,0.394,97.0
45,0.395,54.0
46,0.396,40.0
47,0.397,71.0
48,0.398,64.0
49,0.399,41.5
50,0.4,95.0
51,0.401,39.0
52,0.402,69.0
53,0.403,92.0
54,0.404,34.5
55,0.405,38.5
56,0.406,29.5
57,0.40700000000000003,81.0
58,0.40800000000000003,82.0
59,0.40900000000000003,88.0
