,birth,death
0,0.11,61.5
1,0.111,23.0
2,0.112,26.2
3,0.113,30.25
4,0.114,65.0
5,0.115,41.666666666666664
6,0.116,68.5
7,0.117,34.0
8,0.118,53.5
9,0.119,48.5
10,0.12,32.0
11,0.121,30.333333333333332
12,0.122,14.6
13,0.123,10.666666666666666
14,0.124,8.0
15,0.125,10.333333333333334
16,0.126,10.2
17,0.127,3.25
18,0.128,1.0
19,0.129,1.0
20,0.13,1.25
21,0.131,1.0
22,0.132,2.25
23,0.133,1.25
24,0.134,1.5
25,0.135,2.25
26,0.136,1.25
27,0.137,2.5
28,0.138,2.5
29,0.139,2.0
30,0.14,2.25
31,0.141,3.25
32,0.142,4.0
33,0.143,4.0
34,0.144,3.25
35,0.145,2.25
36,0.146,5.75
37,0.147,4.75
38,0.148,8.333333333333334
39,0.149,7.333333333333333
40,0.15,9.666666666666666
41,0.151,11.0
42,0.152,12.0
43,0.153,13.666666666666666
44,0.154,16.0
